title,release_year,episodes,ratings,netflix,viki,prime_video,disney_plus
Welcome to Samdal-ri,2023,16,8.6,yes,yes,no,no
Cold Blooded Intern,2023,12,7.4,no,no,no,no
Moon In The Day,2023,14,7.7,no,yes,no,no
Doctor Cha,2023,16,8.1,yes,no,no,no
The First Responders 2,2023,12,8.7,no,no,no,no
Call It Love,2023,16,8.2,no,no,no,yes
A Time Called You,2023,12,8.4,yes,no,no,no
Between Him and Her,2023,12,6.7,yes,yes,no,no
The Glory Part 2,2023,8,8.9,yes,no,no,no
Destined with You,2023,16,8.2,yes,no,no,no
Delivery Man (Korean Drama),2023,12,7.8,no,yes,no,no
Moving,2023,20,9,no,no,no,yes
Numbers (Korean Drama),2023,12,7.8,no,no,no,no
Hide (Korean Drama),2024,12,7.5,no,yes,no,no
Love Next Door,2024,16,8.3,yes,no,no,no
Cinderella Game (Korean Drama),2024,101,7.3,no,no,no,no
Knight Flower,2024,12,8.4,yes,no,no,no
Marry My Husband,2024,16,8.5,no,no,yes,no
The Escape of the Seven: Resurrection,2024,16,7.8,no,yes,no,no
Dear Hyeri,2024,12,7.1,no,yes,no,no
The Frog (Netflix),2024,8,7.9,yes,no,no,no
The 8 Show,2024,8,7.6,yes,no,no,no
The Two Sisters,2024,104,5.9,no,no,no,no
The Trunk,2024,8,7.9,yes,no,no,no
Goodbye Earth,2024,12,6.4,yes,no,no,no
Desperate Mrs. Seonju,2024,126,7.2,no,no,no,no
Wedding Impossible,2024,12,7.6,no,yes,no,no
Bad Memory Eraser,2024,16,7.2,no,yes,no,no
Dog Knows Everything,2024,12,8,no,no,no,no
Sorry Not Sorry,2024,12,7.4,no,no,no,no
The Whirlwind,2024,12,8,yes,no,no,no
Perfect Family,2024,12,7.6,no,yes,no,no
Squid Game 2,2024,6,8.1,yes,no,no,no
Namib (Korean Drama),2024,12,7.9,no,yes,no,no
Parasyte: The Grey,2024,6,8.4,yes,no,no,no
Social Savvy Class 101,2024,8,7,yes,no,no,no
Romance in the House,2024,12,7.6,yes,no,no,no
Lovely Runner,2024,16,9,yes,yes,no,no
Serendipity's Embrace,2024,8,8.1,no,yes,no,no
Dare to Love Me,2024,16,7.1,yes,yes,no,no
The Tyrant (Korean Drama),2024,4,7.5,no,no,no,yes
Jeongnyeon: The Star is Born,2024,12,8.3,no,no,no,no
The Player 2: Master of Swindlers,2024,12,8.3,no,yes,no,no
Good Partner,2024,16,8.5,no,yes,no,no
What Comes After Love,2024,6,8.1,no,yes,no,no
Queen Of Tears,2024,16,8.7,yes,no,no,no
To The Moon,2025,12,7.5,no,no,no,no
Mercy for None,2025,7,8.3,yes,no,no,no
LOVE.exe,2025,16,7.1,no,no,no,no
Moon River (Korean Drama),2025,14,8.1,no,yes,no,no
S Line,2025,6,7.1,no,no,no,no
Squid Game 3,2025,6,7.5,yes,no,no,no
The Price of Confession,2025,12,8.7,yes,no,no,no
A History of Losers,2025,8,7.3,no,no,yes,no
Shin's Project,2025,12,7.8,no,no,no,no
Love Scout,2025,12,8.5,yes,yes,no,no
Cashero,2025,8,7.9,yes,no,no,no
The Manipulated,2025,12,8.4,no,no,no,yes
Don't Call Me Ma'am,2025,12,7.6,no,no,no,no
Undercover High School,2025,12,8.5,no,no,no,no
Unmasked (Korean Drama),2025,12,8.1,no,no,no,yes
Oh My Ghost Clients,2025,10,8.2,yes,no,no,no
Our Golden Days,2025,50,7.4,yes,yes,no,no
You and Everything Else,2025,15,8.5,yes,no,no,no
Villains (Korean Drama),2025,8,7.2,no,no,no,no
Hyper Knife,2025,6,7.9,no,no,no,yes
Heavenly Ever After,2025,12,7.9,yes,no,no,no
Buried Hearts,2025,16,8,no,no,no,no
The Winning Try,2025,12,8.5,yes,no,no,no
Surely Tomorrow,2025,12,7.2,no,no,yes,no
Study Group,2025,10,8.9,no,yes,no,no
Our Unwritten Seoul,2025,12,8.7,yes,no,no,no
The Murky Stream,2025,9,7.5,no,no,no,yes
Mother and Mom,2025,8,7.3,no,no,no,no
Queen's House,2025,100,7.3,no,no,no,no
The Defects,2025,8,8.2,no,no,no,no
Queen Mantis,2025,8,8.1,yes,yes,no,no
Weak Hero Class 2,2025,8,8.8,yes,no,no,no
My Dearest Nemesis,2025,12,8,no,yes,no,no
"Bon Appétit, Your Majesty",2025,12,8.4,yes,no,no,no
The Queen Who Crowns,2025,12,8.1,no,yes,no,no
When Life Gives You Tangerines,2025,16,9.3,yes,no,no,no
Dynamite Kiss,2025,14,7.8,yes,no,no,no
The Scandal of Chunhwa,2025,10,7.5,no,no,no,no
ONE: High School Heroes,2025,8,8.2,no,no,no,yes
